name,service,serviceKey,catalogTypes,tier,platforms,releaseDate,streamingSupported,reviewScore,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,hltbId,hltbName,productId,productUrl
SnowRunner,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,78,82.8,152.9,246.3,https://store-images.s-microsoft.com/image/apps.55989.13728552621924096.0f7a693b-b178-499b-ac11-0ea8578f8480.75503e8c-6c2f-46c4-b4ac-ca13ac1c9c0f,77675,SnowRunner,9PNRSC0J6DT8,
Crusader Kings III,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2022-03-29T16:00:00Z,true,81,76.7,165.1,585.8,https://image.api.playstation.com/vulcan/ap/rnd/202108/1607/czGau6hOvx9iQYOOkACdxqDl.png,71763,Crusader Kings III,UP4139-PPSA02307_00-TTL0000000000001,https://store.playstation.com/en-us/concept/10001858
Microsoft Flight Simulator 2024 - Standard Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,73,73,120.5,,https://store-images.s-microsoft.com/image/apps.16212.14550648823552491.458517e5-6b50-4124-b28b-b87004bdb3d1.64ebecb5-78b0-4110-ba66-68e8c1454613,130018,Microsoft Flight Simulator 2024,9P2VGCTBMM52,
Black Desert,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2026-06-30T16:00:00Z,true,,72,0,0,https://image.api.playstation.com/vulcan/ap/rnd/202606/0322/6c5b321746b4697a004cfa20a85ce8bef404953c59ba6063.png,30340,Black Desert,UP4162-PPSA22500_00-0558223561392206,https://store.playstation.com/en-us/concept/233032
Genshin Impact,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,72,69.2,240.2,815,https://store-images.s-microsoft.com/image/apps.40706.14057893183113088.225c959c-4e96-4c0d-b572-af64d573ae06.eb1b05ab-846a-434d-8f78-d9c3d9f4bb76,68133,Genshin Impact,9N7TFFRRZCC9,
"Warhammer 40,000: Rogue Trader",Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,84,68.5,103.9,153.3,https://store-images.s-microsoft.com/image/apps.25233.14552508636920197.1053512f-39a1-498b-9519-3c30a004cc0c.83e68ab8-2700-4883-a937-e7ffb6944232,108941,"Warhammer 40,000: Rogue Trader",9P30BFHZ1BKN,
Assassin's Creed Valhalla,PlayStation Plus,playstation-plus,Game Catalog | Ubisoft+ Classics,Extra/Premium,PS4 | PS5,2020-11-12T05:00:00Z,true,71,61.2,99,151.4,https://image.api.playstation.com/vulcan/ap/rnd/202211/1416/HXBxcRRNOpjREOW3GpBndz3u.png,77729,Assassin's Creed Valhalla,UP0001-PPSA01491_00-GAME000000000000,https://store.playstation.com/en-us/concept/10000237
Assassin's Creed Valhalla,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,71,61.2,99,151.4,https://store-images.s-microsoft.com/image/apps.51716.14585440003614248.9f7109bf-73f7-4bc7-ba61-1eeb006d905a.802f0267-5f00-464e-ac26-a7a901bbb532,77729,Assassin's Creed Valhalla,9P4NJFH17MRT,
Like a Dragon: Infinite Wealth PS4 & PS5,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4 | PS5,2024-01-26T05:00:00Z,true,88,57,84.2,118,https://image.api.playstation.com/vulcan/ap/rnd/202308/2906/6f49857e453aaebe72a7b32f07d2ae999be69fac5bbda1ea.png,113583,Like a Dragon: Infinite Wealth,UP0177-PPSA06435_00-LIKEADRAGON80000,https://store.playstation.com/en-us/concept/10004462
Like a Dragon: Infinite Wealth,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,88,57,84.2,118,https://store-images.s-microsoft.com/image/apps.51604.14465728597087432.6e0f939a-1434-4a25-b368-df8616b251aa.675d1ebb-6588-42b9-83cc-6e62ed4893e7,113583,Like a Dragon: Infinite Wealth,9P00SVGWDJCP,
Kingdom Come: Deliverance II,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2025-02-04T16:00:00Z,true,90,55,97.7,141.5,https://image.api.playstation.com/vulcan/ap/rnd/202408/1208/05a84ce968125d79fa36484c5a756a1c8d9b05622aae21c1.png,148973,Kingdom Come: Deliverance II,UP2047-PPSA21705_00-KCD2MAINGAMEDSUS,https://store.playstation.com/en-us/concept/10006210
Kingdom Come: Deliverance II,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,90,55,97.7,141.5,https://store-images.s-microsoft.com/image/apps.63936.13979588110779567.5e6f9542-73ca-4800-a714-e6819fafc7f7.76f929f7-c7fe-476b-ad30-a807168ecc09,148973,Kingdom Come: Deliverance II,9N4W31HSMVVD,
Stardew Valley,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,88,53.4,94.6,171.6,https://store-images.s-microsoft.com/image/apps.49352.65985311967005000.4f51b5e9-febf-4990-8951-33ba59b634c9.aace9b9e-b001-46eb-a39b-08b1332810aa,34716,Stardew Valley,C3D891Z6TNQM,
Pillars of Eternity II: Deadfire - Ultimate Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,86,52,91,127,https://store-images.s-microsoft.com/image/apps.10942.14218490899188575.a8c726f9-aa48-4378-bee2-0dffc21a7089.4b82a2de-3303-4ebf-aa9e-168b159f6207,74703,Pillars of Eternity II: Deadfire - Ultimate Edition,9PJD2KMX7TZ6,
Terraria,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,87,51.7,91.9,205.6,https://store-images.s-microsoft.com/image/apps.57835.70406876433810089.4beffaca-3fee-4154-a21f-ecd9b3bedbb3.c2203645-e73c-4760-bdbe-f1bcf32a0a05,9705,Terraria,BTNPS60N3114,
Assassin’s Creed® The Ezio Collection,PlayStation Plus,playstation-plus,Game Catalog | Ubisoft+ Classics,Extra/Premium,PS4,2016-11-15T05:00:00Z,false,84,50.8,71.5,106.4,https://image.api.playstation.com/cdn/UP0001/CUSA05008_00/4M2SL5I24y6PCYbyFpQJOGzq14NJXGsw.png,42685,Assassin's Creed: The Ezio Collection,UP0001-CUSA05008_00-ACLEGACYHD000000,https://store.playstation.com/en-us/concept/225519
Assassin's Creed® The Ezio Collection,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,84,50.8,71.5,106.4,https://store-images.s-microsoft.com/image/apps.37308.69011092827716296.e9190db7-6f4c-478c-8555-3edad4336a39.3b1b1f2a-5764-4818-8e36-0027b533bd64,42685,Assassin's Creed: The Ezio Collection,BQ9S8ZKCT3Q7,
DayZ,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,61,50.8,91.5,133.6,https://store-images.s-microsoft.com/image/apps.47889.69886306496288395.9ec42146-6037-4440-b5c7-3a44e5213cc3.633ff3eb-8f2a-4567-ac38-ab688a819736,2290,DayZ,BSR9NLHVF1KL,
Age of Wonders: Planetfall,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2019-08-06T04:00:00Z,false,,48,0,0,https://image.api.playstation.com/vulcan/img/rnd/202010/0716/HTp4sg8nvqCdNoMJnufsqmO9.png,59880,Age of Wonders Planetfall,UP4139-CUSA13583_00-AOWPLANETFALL000,https://store.playstation.com/en-us/concept/232658
Red Dead Redemption 2,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2018-10-26T04:00:00Z,false,,48,77.5,164,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/Hpl5MtwQgOVF9vJqlfui6SDB5Jl4oBSq.png,27100,Red Dead Redemption 2,UP1004-CUSA03041_00-REDEMPTIONFULL02,https://store.playstation.com/en-us/concept/209441
The Elder Scrolls Online (PS4),PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2015-06-09T04:00:00Z,false,70,47.9,207.4,606.9,https://image.api.playstation.com/vulcan/ap/rnd/202503/2521/0139eed8a6364389d3d50eacd6e6d0aaefc46e815b8d8107.png,17596,The Elder Scrolls Online,UP1003-CUSA00132_00-GAMECLIENT000000,https://store.playstation.com/en-us/concept/204861
The Elder Scrolls Online (PS5),PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2021-06-15T11:00:00Z,true,70,47.9,207.4,606.9,https://image.api.playstation.com/vulcan/ap/rnd/202503/2521/0139eed8a6364389d3d50eacd6e6d0aaefc46e815b8d8107.png,17596,The Elder Scrolls Online,UP1003-PPSA02017_00-OSPREYGAMECLIENT,https://store.playstation.com/en-us/concept/204861
The Elder Scrolls Online: Standard Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,70,47.9,207.4,606.9,https://store-images.s-microsoft.com/image/apps.8222.69742768075920623.827baea2-0e15-46be-a422-347ee95ca314.2f21aa22-3b82-4e24-b84f-5fdebd9b9311,17596,The Elder Scrolls Online,BRKX5CRMRTC2,
Brawlhalla,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,64,47.6,115.8,315.2,https://store-images.s-microsoft.com/image/apps.54575.13891464908023063.a2b61e88-13f6-441b-9e30-86dbd5d67e01.9a535c78-96cc-466f-b15e-b4c99c64c13c,22766,Brawlhalla,C3B1V55CDL0C,
Eiyuden Chronicle: Hundred Heroes,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4 | PS5,2024-04-23T04:00:00Z,true,76,46.7,66.4,98.3,https://image.api.playstation.com/vulcan/ap/rnd/202309/0610/5ac881e0e3f0e361826382f894b4050776079eb18c1692ea.png,82916,Eiyuden Chronicle: Hundred Heroes,UP4040-PPSA04721_00-EIYUDENHEROESPS5,https://store.playstation.com/en-us/concept/10003484
Zenless Zone Zero,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,76,46.3,81.9,133.3,https://store-images.s-microsoft.com/image/apps.28577.13974579424110118.c5a91c87-b857-4a17-add3-fc6ba76c3f74.5bbb6b0c-cc25-4abe-bf01-c00408e6e3fa,109101,Zenless Zone Zero,9N4X0WFZ2STM,
Assassin's Creed® Odyssey,PlayStation Plus,playstation-plus,Game Catalog | Ubisoft+ Classics,Extra/Premium,PS4,2018-10-05T04:00:00Z,false,79,45.6,85.4,145.3,https://image.api.playstation.com/cdn/UP0001/CUSA09311_00/2XEenNH5pD4Ro375xwOG8tBwC9xMfEAE.png,57503,Assassin's Creed Odyssey,UP0001-CUSA09311_00-GAME000000000000,https://store.playstation.com/en-us/concept/229601
Assassin's Creed Odyssey,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,79,45.6,85.4,145.3,https://store-images.s-microsoft.com/image/apps.60169.71972716530068101.ccdcadf1-1d2a-49f2-9c37-0b0a27e5a53c.90ee9374-df3a-4c86-8948-858a5adf29b7,57503,Assassin's Creed Odyssey,BW9TWC8L4JCS,
Deep Rock Galactic,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,80,44.6,138.5,493.6,https://store-images.s-microsoft.com/image/apps.1444.13626568325427111.acf8bd0b-a403-422a-bfd4-5262a9b59ec2.8e099efd-082f-4d41-8941-17309ee91c92,47169,Deep Rock Galactic,9NHFVWX1V7QJ,
The Elder Scrolls III: Morrowind,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,84,44.2,105,297.7,https://store-images.s-microsoft.com/image/apps.23519.63316511565903586.d62160f8-6032-426e-af13-d87fe2d204a7.22bb08a7-a717-490d-8d63-036a3db4dc92,9850,The Elder Scrolls III: Morrowind,BXVCFBJBNS17,
Abiotic Factor,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2025-07-22T16:00:00Z,true,82,43.8,74,88.1,https://image.api.playstation.com/vulcan/ap/rnd/202502/1023/857950e3d659c14025f00df668cc9d853edaa3e0ae592e94.png,149774,Abiotic Factor,EP3495-PPSA26012_00-0867930864684348,https://store.playstation.com/en-us/concept/10012483
Abiotic Factor,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,82,43.8,74,88.1,https://store-images.s-microsoft.com/image/apps.53884.14585229772819603.06d592a4-a006-4f6e-901f-b18fb39d663a.bbe40b6f-cf70-4277-a589-d6269843d9b5,149774,Abiotic Factor,9P4NV23Q6QC2,
The Bard's Tale IV: Director's Cut,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,71,43.7,61.2,79.3,https://store-images.s-microsoft.com/image/apps.34604.65351109767529701.defb4d0d-acab-4fd9-8208-7283068f991e.34d0241a-bbac-43d8-8e46-541283f89936,69339,The Bard's Tale IV: Director's Cut,C2B4T86TXLRS,
Wartales,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,70,43.7,76.1,146.6,https://store-images.s-microsoft.com/image/apps.57743.14440655325358467.0a9794a6-3645-4db4-a85e-c611d041111a.80dc7cd7-d40f-455f-9676-f0cf0946ae88,93986,Wartales,9NWQ686JB33G,
Halo: The Master Chief Collection,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,86,43.4,70.3,334.5,https://store-images.s-microsoft.com/image/apps.16930.13817186670444302.148c432a-9fce-4c7d-bf13-8a2bd3a527b3.99d16324-9915-41d7-a388-fa5dd98940cb,22621,Halo: The Master Chief Collection,9MT8PTGVHX2P,
Construction Simulator,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4 | PS5,2022-09-20T04:00:00Z,true,56,42.9,45.3,138.2,https://image.api.playstation.com/vulcan/ap/rnd/202204/2008/J8tdXQc59EDwrIgeHySj1yHf.png,114615,Construction Simulator,UP2565-PPSA04379_00-8001017598364664,https://store.playstation.com/en-us/concept/10000438
Construction Simulator,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,56,42.9,45.3,138.2,https://store-images.s-microsoft.com/image/apps.59831.13712624405302534.e55738fd-2c3b-455f-a5a8-9e7ddcadb7c8.85085ada-16e8-4b26-a684-e6e82b33c603,114615,Construction Simulator,9NLFZVMSQ7CC,
Age of Empires II: Definitive Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,86,42.8,134.9,219.4,https://store-images.s-microsoft.com/image/apps.64988.13678235101671609.6ca6b3d7-f538-4bc0-aeb7-42f19e88b13b.ab42ecb3-c743-415d-ab25-89b6ed4d8060,68260,Age of Empires II: Definitive Edition,9N42SSSX2MTG,
Expeditions: A MudRunner Game (PS4 & PS5),PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4 | PS5,2024-03-05T10:00:00Z,true,68,42.5,68.4,101,https://image.api.playstation.com/vulcan/ap/rnd/202310/1809/8fb813c0709d15b1efd22c39ca3ead0f4e132f2d9c291379.png,134564,Expeditions: A MudRunner Game,UP4133-PPSA17423_00-SNOWRUNNEREXPEDI,https://store.playstation.com/en-us/concept/10008790
Kingdom Come: Deliverance,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5 | PS4,2026-02-13T16:00:00Z,true,81,42.5,80,136.4,https://image.api.playstation.com/vulcan/ap/rnd/202602/0313/8d0a12037596ef54fb9f7e79bd77bca4942df26119014b2c.png,21697,Kingdom Come: Deliverance,EP4062-PPSA28731_00-0405812491993057,https://store.playstation.com/en-us/concept/227410
Kingdom Come: Deliverance,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,81,42.5,80,136.4,https://store-images.s-microsoft.com/image/apps.13415.67852277315147388.d5a39ed0-009d-48ff-b846-7571463e338c.bc2a26df-ec2d-4785-81a1-cb7203857a1b,21697,Kingdom Come: Deliverance,BNBWFH89FCF1,
Palworld,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,74,41.9,76.4,93.3,https://store-images.s-microsoft.com/image/apps.45491.13654268679289325.ececb946-5639-4e77-b347-9d188d4e7e02.d4615c02-237f-4ec6-8ec6-a84aaeed586f,102201,Palworld,9NKV34XDW014,
Monster Hunter Stories 2: Wings of Ruin,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2024-06-14T04:00:00Z,false,79,41.3,60.7,142.6,https://image.api.playstation.com/vulcan/ap/rnd/202402/0808/e8e4c955262795d508bf4bda41b32c6286629de781f2deec.png,83164,Monster Hunter Stories 2: Wings of Ruin,UP0102-CUSA43546_00-FULLGAME00000001,https://store.playstation.com/en-us/concept/10007583
For The King II,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,73,41,79.6,180,https://store-images.s-microsoft.com/image/apps.14890.14401580739712929.1516cf95-6368-4bda-ba63-aea64b42d32f.47232528-8957-4bd1-b81b-ab3fa4286f1e,128032,For The King II,9NVC9KWJVLT0,
Wasteland 2: Director's Cut,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,76,40.8,65,100.1,https://store-images.s-microsoft.com/image/apps.44620.67543493413768448.5fe0b603-cfee-4844-b8b0-07e502111713.94dd19f4-8574-474f-a329-6de47a1d8397,11099,Wasteland 2,C521HDXRTS7F,
Little Rocket Lab,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,85,40.6,46.5,80,https://store-images.s-microsoft.com/image/apps.1709.14000344005974621.9729934f-27d2-4900-8aa2-53049eb44202.fb1cffa2-b0b1-4295-9b55-b3112f9fecd1,160525,Little Rocket Lab,9N3M5D5ZSW34,
DEATH STRANDING,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2019-11-08T05:00:00Z,false,85,40.5,60,112.8,https://image.api.playstation.com/vulcan/img/rnd/202009/2921/40aD0BqRUHyHdXdC6nwtwON5.png,38061,Death Stranding,UP9000-CUSA11260_00-DEATHSTRAND00001,https://store.playstation.com/en-us/concept/234585
DEATH STRANDING DIRECTOR’S CUT,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2021-09-24T04:00:00Z,true,85,40.5,60,112.8,https://image.api.playstation.com/vulcan/ap/rnd/202106/2214/Trdth4yKbz45CVH7VGCT1INp.png,38061,Death Stranding,UP9000-PPSA01969_00-DEATHSTRANDINGUS,https://store.playstation.com/en-us/concept/234585
DEATH STRANDING DIRECTOR'S CUT,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,85,40.5,60,112.8,https://store-images.s-microsoft.com/image/apps.65472.13774354316070254.dbfd815f-aaf8-4e63-b069-bd514601d13b.6bc5a8c9-3865-4600-abf0-1c2e2df6d988,38061,Death Stranding,9NQGN8TGNT8P,
Dragon Age: Origins,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,86,40.3,57.8,86.8,https://store-images.s-microsoft.com/image/apps.25088.70226594498231256.17116041-5bab-4f35-9bd5-63b5de669a3f.3076712f-3ab7-4813-a935-b1f954d8e904,2760,Dragon Age: Origins,BS9SX4Q6XJRF,
The First Descendant,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,71,37,64.2,98.5,https://store-images.s-microsoft.com/image/apps.69.14088967971354578.6905da5e-eaf6-4f51-aabc-e221a5476323.b846aec6-4e7d-4847-b836-27fcdb7e97a6,115058,The First Descendant,9P8FBXKMCLWC,
Disney Dreamlight Valley,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,72,36.6,79.6,130.5,https://store-images.s-microsoft.com/image/apps.62890.14365104417622257.42e17a74-81d1-4e35-8c38-a935ba30ef21.80948ce2-63b2-49df-9e97-4ab247b81f10,107141,Disney Dreamlight Valley,9NSF0BGH8D86,
Forza Motorsport Standard Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,66,36.4,67.4,163.8,https://store-images.s-microsoft.com/image/apps.4206.14311721322459352.08838dcd-1049-42ef-a004-b13ad1d41946.9657386a-652e-45b5-a08b-0583c5e0db8c,109240,Forza Motorsport,9PLKVSWR299F,
Fallout 76 PS4 & PS5,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4 | PS5,2026-09-15T16:00:00Z,true,61,36.3,114.6,308.3,https://image.api.playstation.com/vulcan/ap/rnd/202608/1214/4240708e955c460e92bcaa1f453f1e50567f29fce6636431.png,57416,Fallout 76,UP1003-PPSA30932_00-PROJECTSYMES0000,https://store.playstation.com/en-us/concept/232248
Fallout 76,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,61,36.3,114.6,308.3,https://store-images.s-microsoft.com/image/apps.27308.70143269474194625.b0e8b744-cb24-48cd-9498-108cc064643f.3b3afca7-622d-44bd-b112-ff6d4e025fce,57416,Fallout 76,BS6WJ2L56B10,
MechWarrior 5: Mercenaries,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,73,36,58,149.6,https://store-images.s-microsoft.com/image/apps.1453.14123304312086404.5dc09435-a0e3-402c-ba22-f58dbbaccd21.e2b9a345-d6e3-4983-ad7d-2d2c5c192d1c,67949,MechWarrior 5: Mercenaries,9PB86W3JK8Z5,
Wasteland 3,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,80,36,49.7,75.3,https://store-images.s-microsoft.com/image/apps.31983.69010346493633739.074410cb-38ab-4f48-b6fe-0ffa69c89fa9.b1e9bf9f-f41e-4384-9a25-748d0b18fedd,42532,Wasteland 3,BQ9T0JF0D3L4,
PowerWash Simulator 2,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,81,35.6,40.5,42.8,https://store-images.s-microsoft.com/image/apps.42570.14599755904534716.17bb0a59-5620-4f18-8288-e31c9ada08d4.8c875317-d3b8-4f1b-bb2e-f233574f90c9,165177,PowerWash Simulator 2,9P45GGDTFNSM,
Pillars of Eternity: Complete Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,80,35.5,79.5,107.1,https://store-images.s-microsoft.com/image/apps.15487.69508748727770428.7ce00ad4-485c-4664-819a-1d17af316267.8617d93c-eaf0-497c-b0f5-2f0e6102e9ff,71293,Pillars of Eternity: Complete Edition,BS34VNW7H61F,
Planet Zoo,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2024-03-26T14:00:00Z,true,80,35.4,58.1,98.3,https://image.api.playstation.com/vulcan/ap/rnd/202401/1212/3e9face5939ff74cb52fc44508cd42d0481d85f3612a09e9.png,68032,Planet Zoo,UP2514-PPSA18027_00-PLANETZOOOOOOOOO,https://store.playstation.com/en-us/concept/10009025
Phoenix Point,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,61,35.3,73.4,145.7,https://store-images.s-microsoft.com/image/apps.155.14507726714197033.ea391b48-d8cb-4724-a6cb-765168bd5161.3cfc32f8-f682-490e-9e59-cd6548a4c102,53702,Phoenix Point,9P1P5Q3BNM7J,
The Settlers: New Allies,PlayStation Plus,playstation-plus,Game Catalog | Ubisoft+ Classics,Extra/Premium,PS4,2023-03-16T12:00:00Z,false,62,34.5,43.3,,https://image.api.playstation.com/vulcan/ap/rnd/202210/2617/7o69gXCuTHgOTJSLFfew4it5.png,102978,The Settlers: New Allies,UP0001-CUSA18990_00-UBISOFTSETTLERSR,https://store.playstation.com/en-us/concept/234411
